Year,Player_ID,X_loc,Y_loc
1997-98,143,0,0
1997-98,143,-136,96
1997-98,143,-70,231
1997-98,143,134,139
1997-98,143,-171,113
1997-98,143,-53,194
1997-98,143,-197,166
1997-98,143,-61,59
1997-98,143,186,38
1997-98,143,3,154
1997-98,143,-175,63
1997-98,143,27,29
1997-98,143,-201,55
1997-98,143,-158,192
1997-98,143,0,36
1997-98,143,-194,87
1997-98,143,-175,81
1997-98,143,214,132
1997-98,143,-145,201
1997-98,143,-205,1
1997-98,143,0,0
1997-98,143,0,0
1997-98,143,14,201
1997-98,143,0,0
1997-98,143,5,257
1997-98,143,0,0
1997-98,143,-184,23
1997-98,143,0,0
1997-98,143,-164,100
1997-98,143,0,0
1997-98,143,-154,121
1997-98,143,-179,164
1997-98,143,102,113
1997-98,143,149,27
1997-98,143,130,68
1997-98,143,-175,8
1997-98,143,-169,14
1997-98,143,1,181
1997-98,143,-154,81
1997-98,143,123,207
1997-98,143,-205,139
1997-98,143,-216,143
1997-98,143,-169,16
1997-98,143,-212,117
1997-98,143,121,74
1997-98,143,138,104
1997-98,143,-57,134
1997-98,143,-229,-10
1997-98,143,0,0
1997-98,143,154,158
1997-98,143,-55,53
1997-98,143,0,0
1997-98,143,-188,53
1997-98,143,0,0
1997-98,143,151,38
1997-98,143,0,0
1997-98,143,0,0
1997-98,143,-233,100
1997-98,143,-85,171
1997-98,143,199,1
1997-98,143,0,0
1997-98,143,0,0
1997-98,143,222,104
1997-98,143,149,141
1997-98,143,3,214
1997-98,143,70,171
1997-98,143,0,0
1997-98,143,0,0
1997-98,143,-160,-16
1997-98,143,-169,55
1997-98,143,-87,173
1997-98,143,0,0
1997-98,143,138,128
1997-98,143,126,121
1997-98,143,136,113
1997-98,143,-229,53
1997-98,143,-169,89
1997-98,143,0,0
1997-98,143,0,0
1997-98,143,-169,184
1997-98,143,0,0
1997-98,143,-166,100
1997-98,143,-106,171
1997-98,143,117,113
1997-98,143,156,-5
1997-98,143,-242,-3
1997-98,143,117,147
1997-98,143,108,136
1997-98,143,108,194
1997-98,143,138,201
1997-98,143,-104,12
1997-98,143,188,111
1997-98,143,8,51
1997-98,143,-89,201
1997-98,143,0,0
1997-98,143,179,113
1997-98,143,171,126
1997-98,143,10,190
1997-98,143,141,196
1997-98,143,128,40
1997-98,143,0,0
1997-98,143,78,201
1997-98,143,188,169
1997-98,143,177,-5
1997-98,143,201,-12
1997-98,143,61,201
1997-98,143,102,-1
1997-98,143,1,0
1997-98,143,-156,113
1997-98,143,-149,166
1997-98,143,-201,63
1997-98,143,-14,48
1997-98,143,169,104
1997-98,143,-209,-10
1997-98,143,-27,216
1997-98,143,-175,179
1997-98,143,-87,237
1997-98,143,-14,248
1997-98,143,192,74
1997-98,143,-111,149
1997-98,143,0,0
1997-98,143,-46,151
1997-98,143,108,154
1997-98,143,188,177
1997-98,143,0,0
1997-98,143,-231,-5
1997-98,143,141,1
1997-98,143,-100,231
1997-98,143,-173,177
1997-98,143,-216,139
1997-98,143,46,21
1997-98,143,-158,132
1997-98,143,-160,106
1997-98,143,-205,85
1997-98,143,-14,244
1997-98,143,134,160
1997-98,143,-158,93
1997-98,143,-74,233
1997-98,143,147,106
1997-98,143,147,106
1997-98,143,0,36
1997-98,143,-81,233
1997-98,143,-192,87
1997-98,143,-233,57
1997-98,143,-1,250
1997-98,143,-106,31
1997-98,143,211,109
1997-98,143,-55,33
1997-98,143,-162,3
1997-98,143,66,212
1997-98,143,-3,220
1997-98,143,70,16
1997-98,143,0,0
1997-98,143,1,192
1997-98,143,108,220
1997-98,143,0,0
1997-98,143,-233,57
1997-98,143,190,12
1997-98,143,0,0
1997-98,143,81,231
1997-98,143,93,175
1997-98,143,-175,81
1997-98,143,-190,8
1997-98,143,166,126
1997-98,143,-89,222
1997-98,143,138,179
1997-98,143,-38,134
1997-98,143,-214,-14
1997-98,143,-98,218
1997-98,143,-134,147
1997-98,143,-83,-3
1997-98,143,-3,246
1997-98,143,188,154
1997-98,143,-38,212
1997-98,143,0,0
1997-98,143,-44,166
1997-98,143,184,83
1997-98,143,-3,192
1997-98,143,0,0
1997-98,143,177,194
