iter	RMSE
0	16.16165093
1	16.04968464
2	15.9417646
3	15.83096207
4	15.72415119
5	15.61376656
6	15.50763714
7	15.4022405
8	15.29905243
9	15.19502749
10	15.09500691
11	14.99260062
12	14.8956218
13	14.79611727
14	14.69694957
15	14.60372982
16	14.50924525
17	14.41387666
18	14.32146033
19	14.23358423
20	14.14121621
21	14.05206564
22	13.96426952
23	13.8781945
24	13.79276741
25	13.71049416
26	13.62774127
27	13.54637174
28	13.46473828
29	13.38399885
30	13.30619476
31	13.22693817
32	13.14904848
33	13.07250378
34	12.99656163
35	12.92187836
36	12.84922014
37	12.777138
38	12.70537324
39	12.6350645
40	12.56632677
41	12.49736387
42	12.43242414
43	12.3690745
44	12.30314911
45	12.23845059
46	12.1746945
47	12.11024192
48	12.04663539
49	11.98449478
50	11.92595686
51	11.86700897
52	11.80902531
53	11.751266
54	11.69396235
55	11.63954989
56	11.58373925
57	11.5305393
58	11.47640006
59	11.42494305
60	11.37182179
61	11.32227808
62	11.2698912
63	11.21873254
64	11.16828377
65	11.11816415
66	11.07024724
67	11.02482362
68	10.97726249
69	10.93216976
70	10.88729112
71	10.8419795
72	10.79823183
73	10.7543168
74	10.71146134
75	10.66882488
76	10.62757983
77	10.5883828
78	10.54806578
79	10.51018574
80	10.47142763
81	10.43201966
82	10.39384039
83	10.35648953
84	10.318879
85	10.28186215
86	10.24630429
87	10.21105858
88	10.17854787
89	10.14321106
90	10.10902062
91	10.07705226
92	10.04475126
93	10.01428645
94	9.983433074
95	9.95188087
96	9.920875747
97	9.890520875
98	9.860884269
99	9.833144329
100	9.803634438
101	9.774354494
102	9.745638093
103	9.719498881
104	9.69244955
105	9.665263416
106	9.639624795
107	9.61311898
108	9.587800918
109	9.563044096
110	9.538961508
111	9.514266397
112	9.490515409
113	9.466648757
114	9.444054195
115	9.422858603
116	9.40064634
117	9.378547725
118	9.35684164
119	9.335427549
120	9.315985174
121	9.296324853
122	9.2762821
123	9.2565618
124	9.236438982
125	9.217026581
126	9.198463502
127	9.177958648
128	9.16002168
129	9.141594581
130	9.122116907
131	9.104663422
132	9.088849427
133	9.071889833
134	9.055205231
135	9.037676083
136	9.022941877
137	9.006249947
138	8.989594084
139	8.97407194
140	8.958781568
141	8.942849202
142	8.927664198
143	8.913632145
144	8.899864262
145	8.886315425
146	8.872814775
147	8.859327449
148	8.845472349
149	8.832444484
150	8.819311676
151	8.805253685
152	8.790989525
153	8.778677755
154	8.767936356
155	8.756681934
156	8.744910162
157	8.731623326
158	8.718905251
159	8.707490649
160	8.697256043
161	8.686208808
162	8.676518073
163	8.667020026
164	8.656166169
165	8.646486237
166	8.63521788
167	8.626643518
168	8.616790745
169	8.608427812
170	8.599227578
171	8.589832184
172	8.579883386
173	8.571549191
174	8.56345074
175	8.554363587
176	8.547046493
177	8.538823681
178	8.530765109
179	8.522849914
180	8.513644505
181	8.50421224
182	8.497735911
183	8.490088441
184	8.482849776
185	8.47555415
186	8.467793326
187	8.461093824
188	8.454557645
189	8.447688352
190	8.439898037
191	8.433814189
192	8.42541884
193	8.41769348
194	8.411514323
195	8.405602589
196	8.399756164
197	8.393643349
198	8.386548899
199	8.378817584
200	8.373586773
201	8.365140357
202	8.359235814
203	8.353897815
204	8.348517397
205	8.344282253
206	8.339002933
207	8.334168249
208	8.32968973
209	8.325521385
210	8.321557923
211	8.316283487
212	8.311677808
213	8.307566212
214	8.303141696
215	8.299106757
216	8.294943506
217	8.288435178
218	8.283065767
219	8.278126922
220	8.274910359
221	8.270793437
222	8.266664081
223	8.261649571
224	8.258554145
225	8.254425956
226	8.248395741
227	8.243968635
228	8.240992078
229	8.237912027
230	8.23371316
231	8.23048558
232	8.227389197
233	8.222086734
234	8.219096513
235	8.216083722
236	8.213719787
237	8.210304654
238	8.206429438
239	8.202930502
240	8.200224651
241	8.195736095
242	8.191079399
243	8.18849129
244	8.185523297
245	8.182412597
246	8.180351694
247	8.175608368
248	8.172492148
249	8.169600154
250	8.167201516
251	8.16482873
252	8.161115466
253	8.158699076
254	8.155241342
255	8.153554726
256	8.149290897
257	8.147412388
258	8.145188333
259	8.141341545
260	8.138513905
261	8.136192263
262	8.133426605
263	8.131764552
264	8.130259296
265	8.12875828
266	8.12577501
267	8.122638305
268	8.118860563
269	8.11726839
270	8.115361898
271	8.113573917
272	8.112281626
273	8.111015292
274	8.106896378
275	8.105718089
276	8.10220061
277	8.099485873
278	8.098164917
279	8.096396665
280	8.094772485
281	8.091002745
282	8.089670166
283	8.088650709
284	8.087629445
285	8.086042722
286	8.084577737
287	8.083267987
288	8.081754296
289	8.080072407
290	8.078642253
291	8.077437133
292	8.076550556
293	8.074374867
294	8.072643489
295	8.071780294
296	8.070139661
297	8.067477198
298	8.066687606
299	8.065966482
300	8.061914003
301	8.059722479
302	8.058840994
303	8.056485071
304	8.053098773
305	8.052357504
306	8.050832714
307	8.050213107
308	8.049483961
309	8.048465144
310	8.046549695
311	8.045566927
312	8.044167373
313	8.042120631
314	8.041550295
315	8.040180324
316	8.038107619
317	8.037521311
318	8.036320031
319	8.035268688
320	8.032735616
321	8.031255964
322	8.028615226
323	8.027106823
324	8.024114048
325	8.023435741
326	8.022438404
327	8.021450924
328	8.019492963
329	8.018943483
330	8.01833393
331	8.016750275
332	8.014742255
333	8.013909539
334	8.013395102
335	8.010634685
336	8.009515429
337	8.008966078
338	8.007871057
339	8.00705458
340	8.006004545
341	8.005633675
342	8.004897869
343	8.004585716
344	8.00414143
345	8.003842577
346	8.003548152
347	8.001175632
348	8.000662193
349	7.997684807
350	7.997410798
351	7.996754733
352	7.993476478
353	7.990758077
354	7.990041937
355	7.988345135
356	7.987951186
357	7.98729525
358	7.98679794
359	7.986266653
360	7.983504892
361	7.981423309
362	7.981163751
363	7.98053527
364	7.980323324
365	7.979935335
366	7.979279957
367	7.977217422
368	7.976595451
369	7.976177127
370	7.972796323
371	7.972559631
372	7.970740073
373	7.967840987
374	7.965251793
375	7.964673756
376	7.964433358
377	7.963939605
378	7.961722931
379	7.96148055
380	7.961223018
381	7.960697157
382	7.960175061
383	7.959765471
384	7.959594207
385	7.95879052
386	7.956878395
387	7.954732469
388	7.954598527
389	7.954436039
390	7.954219542
391	7.953313205
392	7.951117881
393	7.950926415
394	7.950245076
395	7.950071724
396	7.949908686
397	7.94701372
398	7.945098972
399	7.944868961
400	7.943482169
401	7.94333001
402	7.941452584
403	7.941019186
404	7.939365242
405	7.937338805
406	7.93659027
407	7.93505388
408	7.934896621
409	7.934761288
410	7.934472218
411	7.933642181
412	7.931819785
413	7.931237879
414	7.930976636
415	7.93070491
416	7.930447804
417	7.929664402
418	7.927085355
419	7.926916639
420	7.925808178
421	7.925622684
422	7.924399012
423	7.923480515
424	7.923376293
425	7.920884003
426	7.919821971
427	7.919500234
428	7.917546779
429	7.915484987
430	7.913443462
431	7.91338213
432	7.913321984
433	7.910717402
434	7.91051904
435	7.910364116
436	7.910257449
437	7.910127357
438	7.91006464
439	7.909883497
440	7.909165721
441	7.908158641
442	7.906547254
443	7.90513917
444	7.903091427
445	7.902931179
446	7.90279083
447	7.902240552
448	7.901477497
449	7.901372222
450	7.901276723
451	7.900158094
452	7.899974335
453	7.899875213
454	7.899452426
455	7.899378416
456	7.898890984
457	7.897996086
458	7.897924669
459	7.896422215
460	7.894675631
461	7.894392709
462	7.891843564
463	7.890959565
464	7.889673552
465	7.889610259
466	7.88832104
467	7.888259188
468	7.887435804
469	7.886354675
470	7.88600111
471	7.885795259
472	7.883799589
473	7.882039498
474	7.881820785
475	7.879191342
476	7.878135191
477	7.878075102
478	7.875474725
479	7.874837347
480	7.874601149
481	7.874530097
482	7.873666973
483	7.873505112
484	7.871247218
485	7.871167432
486	7.870567335
487	7.870507737
488	7.8698323
489	7.869514072
490	7.869466238
491	7.869238676
492	7.869191726
493	7.869145391
494	7.8658069
495	7.8656089
496	7.865571234
497	7.86458465
498	7.864510925
499	7.861225679
500	7.860043856
501	7.858027695
502	7.857431746
503	7.857325311
504	7.857093759
505	7.857008139
506	7.856013719
507	7.855970501
508	7.855928537
509	7.8558197
510	7.854359592
511	7.854108646
512	7.85357109
513	7.853532608
514	7.851464623
515	7.850896409
516	7.849598132
517	7.84952137
518	7.847625852
519	7.847580413
520	7.847001982
521	7.846343444
522	7.845719466
523	7.843885478
524	7.84223748
525	7.840852935
526	7.840817868
527	7.840661786
528	7.839222563
529	7.838577922
