iter	Passed	Remaining
0	6	6547
1	10	5182
2	15	5256
3	19	4765
4	21	4205
5	23	3910
6	27	3850
7	33	4099
8	35	3859
9	37	3674
10	39	3548
11	41	3436
12	43	3296
13	45	3198
14	47	3125
15	49	3055
16	52	3034
17	54	2970
18	56	2921
19	58	2874
20	61	2885
21	64	2845
22	65	2802
23	69	2813
24	72	2832
25	75	2828
26	77	2802
27	79	2775
28	82	2745
29	84	2718
30	86	2692
31	87	2650
32	89	2628
33	91	2604
34	93	2582
35	95	2568
36	98	2551
37	100	2532
38	101	2501
39	103	2485
40	105	2472
41	107	2457
42	109	2439
43	111	2427
44	113	2411
45	115	2399
46	118	2400
47	121	2417
48	123	2406
49	128	2442
50	130	2424
51	132	2412
52	133	2392
53	135	2378
54	137	2363
55	139	2353
56	141	2347
57	144	2353
58	146	2343
59	149	2337
60	151	2327
61	153	2318
62	155	2309
63	159	2331
64	161	2324
65	163	2313
66	165	2306
67	167	2293
68	169	2286
69	172	2287
70	175	2291
71	177	2284
72	179	2276
73	181	2269
74	183	2262
75	185	2254
76	188	2253
77	190	2256
78	193	2251
79	197	2269
80	201	2282
81	204	2283
82	212	2346
83	222	2430
84	225	2422
85	228	2433
86	232	2437
87	234	2429
88	240	2460
89	244	2474
90	247	2473
91	254	2508
92	256	2500
93	259	2499
94	261	2491
95	263	2481
96	266	2483
97	269	2485
98	272	2478
99	274	2471
100	277	2472
101	281	2479
102	284	2481
103	286	2472
104	289	2466
105	291	2458
106	293	2450
107	295	2437
108	297	2428
109	300	2431
110	303	2427
111	305	2420
112	307	2413
113	309	2404
114	312	2401
115	315	2408
116	318	2404
117	320	2397
118	322	2389
119	324	2382
120	326	2374
121	329	2374
122	332	2367
123	334	2363
124	336	2356
125	341	2371
126	347	2390
127	352	2398
128	354	2390
129	356	2384
130	358	2377
131	360	2368
132	363	2367
133	365	2359
134	367	2353
135	370	2354
136	373	2355
137	375	2345
138	377	2335
139	379	2331
140	381	2324
141	383	2319
142	390	2341
143	395	2352
144	402	2375
145	404	2366
146	406	2359
147	412	2375
148	414	2369
149	419	2375
150	421	2370
151	423	2364
152	426	2358
153	428	2352
154	430	2346
155	432	2340
156	435	2337
157	438	2337
158	440	2332
159	443	2326
160	445	2320
161	447	2316
162	449	2310
163	451	2302
164	455	2307
165	459	2308
166	462	2306
167	464	2299
168	466	2293
169	469	2290
170	473	2295
171	477	2296
172	480	2298
173	484	2298
174	488	2303
175	492	2303
176	495	2304
177	498	2304
178	501	2300
179	505	2301
180	512	2316
181	516	2321
182	521	2327
183	524	2326
184	527	2324
185	530	2321
186	534	2324
187	537	2321
188	541	2322
189	546	2330
190	551	2335
191	555	2337
192	558	2337
193	560	2330
194	562	2323
195	565	2318
196	567	2311
197	569	2305
198	571	2299
199	573	2293
200	575	2288
201	577	2282
202	580	2277
203	583	2277
204	585	2272
205	588	2267
206	590	2261
207	593	2261
208	601	2277
209	603	2271
210	605	2265
211	608	2261
212	610	2257
213	614	2256
214	617	2253
215	621	2254
216	624	2253
217	626	2247
218	628	2242
219	631	2238
220	633	2232
221	635	2226
222	637	2222
223	640	2218
224	644	2220
225	646	2215
226	649	2210
227	651	2204
228	653	2199
229	655	2195
230	661	2203
231	664	2198
232	666	2194
233	669	2191
234	672	2189
235	677	2192
236	679	2187
237	684	2191
238	687	2189
239	692	2191
240	694	2187
241	699	2190
242	707	2202
243	709	2197
244	713	2197
245	716	2195
246	722	2203
247	725	2199
248	729	2199
249	731	2195
250	738	2202
251	739	2195
252	743	2194
253	751	2208
254	755	2205
255	758	2204
256	761	2200
257	768	2209
258	775	2218
259	787	2241
260	800	2267
261	807	2273
262	815	2284
263	820	2287
264	825	2290
265	831	2294
266	833	2289
267	838	2289
268	840	2284
269	843	2280
270	845	2274
271	847	2269
272	851	2267
273	855	2265
274	857	2260
275	858	2253
276	860	2246
277	862	2240
278	864	2234
279	866	2227
280	868	2222
281	870	2215
282	872	2210
283	874	2203
284	876	2198
285	878	2192
286	880	2186
287	882	2181
288	884	2175
289	886	2170
290	888	2164
291	890	2159
292	892	2154
293	894	2148
294	898	2147
295	901	2144
296	903	2139
297	906	2134
298	908	2129
299	910	2124
300	913	2120
301	915	2114
302	917	2110
303	919	2105
304	921	2099
305	923	2094
306	925	2089
307	927	2084
308	929	2078
309	931	2072
310	932	2066
311	934	2061
312	937	2056
313	939	2051
314	940	2046
315	943	2042
316	946	2038
317	949	2035
318	951	2030
319	953	2025
320	957	2024
321	959	2020
322	961	2015
323	966	2016
324	968	2011
325	970	2007
326	972	2002
327	974	1997
328	976	1991
329	979	1988
330	982	1986
331	985	1982
332	988	1980
333	991	1977
334	994	1973
335	996	1968
336	997	1963
337	1000	1958
338	1002	1954
339	1004	1949
340	1006	1945
341	1008	1941
342	1012	1939
343	1021	1947
344	1027	1951
345	1031	1948
346	1033	1944
347	1035	1939
348	1037	1935
349	1041	1933
350	1045	1933
351	1047	1928
352	1053	1931
353	1059	1933
354	1063	1931
355	1067	1930
356	1071	1929
357	1073	1925
358	1076	1921
359	1078	1917
360	1080	1912
361	1082	1908
362	1084	1903
363	1088	1902
364	1091	1898
365	1093	1893
366	1094	1888
367	1097	1884
368	1099	1880
369	1102	1877
370	1104	1872
371	1106	1868
372	1108	1863
373	1110	1859
374	1112	1854
375	1115	1851
376	1119	1850
377	1121	1845
378	1123	1841
379	1125	1836
380	1127	1831
381	1129	1826
382	1130	1821
383	1135	1820
384	1137	1816
385	1139	1812
386	1142	1810
387	1145	1806
388	1146	1801
389	1151	1801
390	1153	1796
391	1155	1791
392	1156	1786
393	1159	1782
394	1161	1778
395	1168	1781
396	1170	1777
397	1173	1775
398	1176	1771
399	1180	1770
400	1183	1767
401	1185	1763
402	1187	1759
403	1189	1755
404	1191	1750
405	1195	1749
406	1198	1746
407	1200	1742
408	1203	1738
409	1205	1734
410	1207	1730
411	1212	1729
412	1214	1726
413	1216	1722
414	1218	1717
415	1221	1715
416	1223	1710
417	1226	1707
418	1229	1704
419	1232	1702
420	1237	1702
421	1240	1699
422	1244	1698
423	1246	1694
424	1252	1694
425	1256	1692
426	1259	1690
427	1261	1686
428	1267	1686
429	1269	1682
430	1282	1693
431	1287	1692
432	1292	1692
433	1296	1690
434	1299	1688
435	1303	1685
436	1305	1681
437	1307	1677
438	1310	1674
439	1314	1672
440	1316	1668
441	1319	1665
442	1321	1661
443	1329	1664
444	1336	1667
445	1338	1663
446	1344	1663
447	1348	1661
448	1351	1658
449	1353	1654
450	1359	1654
451	1361	1650
452	1364	1648
453	1367	1644
454	1369	1640
455	1372	1637
456	1375	1634
457	1378	1631
458	1381	1628
459	1383	1624
460	1389	1624
461	1391	1620
462	1395	1618
463	1397	1614
464	1402	1613
465	1404	1609
466	1406	1605
467	1408	1601
468	1411	1598
469	1413	1594
470	1418	1592
471	1419	1588
472	1421	1584
473	1424	1580
474	1425	1575
475	1428	1572
476	1429	1567
477	1431	1563
478	1433	1559
479	1435	1555
480	1437	1551
481	1438	1546
482	1440	1542
483	1442	1537
484	1444	1533
485	1446	1529
486	1448	1525
487	1450	1521
488	1452	1517
489	1454	1513
490	1455	1509
491	1457	1504
492	1459	1501
493	1462	1497
494	1464	1493
495	1466	1490
496	1468	1485
497	1471	1483
498	1473	1479
499	1475	1475
500	1477	1471
501	1478	1467
502	1481	1463
503	1483	1460
504	1486	1456
505	1488	1452
506	1490	1449
507	1492	1445
508	1493	1440
509	1495	1437
510	1497	1433
511	1500	1429
512	1502	1425
513	1504	1422
514	1506	1418
515	1508	1414
516	1509	1410
517	1512	1406
518	1515	1404
519	1517	1400
520	1519	1396
521	1521	1393
522	1522	1389
523	1525	1385
524	1527	1381
525	1531	1379
526	1533	1376
527	1535	1372
528	1536	1368
529	1538	1364
530	1540	1360
531	1544	1358
532	1546	1355
533	1548	1351
534	1553	1350
535	1555	1346
536	1558	1343
537	1560	1339
538	1561	1335
539	1564	1332
540	1566	1329
541	1568	1325
542	1572	1323
543	1574	1320
544	1576	1316
545	1578	1312
546	1580	1309
547	1582	1305
548	1584	1301
549	1587	1298
550	1590	1295
551	1592	1292
552	1594	1288
553	1596	1285
554	1598	1281
555	1600	1278
556	1607	1278
557	1613	1278
558	1615	1274
559	1624	1276
560	1627	1273
561	1630	1270
562	1634	1268
563	1638	1266
564	1641	1263
565	1645	1261
566	1651	1261
567	1654	1258
568	1656	1254
569	1662	1254
570	1666	1252
571	1669	1249
572	1673	1247
573	1676	1244
574	1682	1243
575	1685	1240
576	1687	1237
577	1692	1236
578	1699	1235
579	1702	1232
580	1708	1231
581	1714	1231
582	1717	1228
583	1722	1226
584	1728	1226
585	1730	1222
586	1734	1220
587	1736	1216
588	1742	1216
589	1744	1212
590	1748	1209
591	1751	1206
592	1758	1207
593	1762	1204
594	1765	1201
595	1766	1197
596	1769	1194
597	1772	1191
598	1773	1187
599	1775	1183
600	1779	1181
601	1781	1177
602	1783	1174
603	1785	1170
604	1786	1166
605	1789	1163
606	1791	1159
607	1793	1156
608	1795	1152
609	1797	1149
610	1799	1145
611	1801	1142
612	1803	1138
613	1805	1135
614	1807	1131
615	1809	1128
616	1811	1124
617	1813	1121
618	1815	1117
619	1818	1114
620	1819	1110
621	1820	1106
622	1822	1103
623	1824	1099
624	1826	1095
625	1828	1092
626	1830	1088
627	1833	1085
628	1834	1082
629	1836	1078
630	1838	1075
631	1840	1071
632	1842	1068
633	1843	1064
634	1845	1060
635	1847	1057
636	1849	1053
637	1851	1050
638	1853	1047
639	1855	1043
640	1857	1040
641	1858	1036
642	1860	1033
643	1862	1029
644	1864	1026
645	1866	1022
646	1868	1019
647	1870	1016
648	1872	1012
649	1874	1009
650	1877	1006
651	1878	1002
652	1882	1000
653	1884	997
654	1886	993
655	1891	992
656	1893	988
657	1895	985
658	1897	981
659	1900	978
660	1901	975
661	1904	972
662	1907	969
663	1910	966
664	1913	964
665	1916	961
666	1918	957
667	1920	954
668	1923	951
669	1925	948
670	1927	945
671	1930	942
672	1932	938
673	1934	935
674	1936	932
675	1938	929
676	1940	925
677	1943	923
678	1945	919
679	1947	916
680	1950	913
681	1952	910
682	1954	906
683	1955	903
684	1958	900
685	1960	897
686	1961	893
687	1964	890
688	1966	887
689	1968	884
690	1970	880
691	1972	877
692	1974	874
693	1975	871
